id,type,initial_frame,detection_duration,lenght
670,motorcycle,12528,1,52.706298828125
671,car,12551,66,138.4007568359375
672,truck,12557,2,229.816162109375
673,car,12589,15,84.322021484375
674,motorcycle,12610,1,53.442626953125
675,car,12641,52,176.85316467285156
676,car,12651,51,131.5462646484375
677,car,12686,53,156.33660888671875
678,car,12688,22,117.2669677734375
679,car,12703,8,105.6719970703125
680,car,12733,2,90.318115234375
681,car,12741,57,181.19219970703125
682,car,12753,39,124.1143798828125
683,truck,12807,35,326.78515625
684,truck,12831,21,145.7484130859375
685,truck,12837,36,259.6849365234375
686,car,12863,9,51.509765625
687,car,12865,54,177.4512939453125
688,truck,12877,13,173.90667724609375
689,train,12889,14,407.7235412597656
690,car,12917,16,96.53228759765625
691,car,12963,5,62.51904296875
692,truck,12997,2,227.162353515625
693,car,13012,61,133.43804931640625
694,car,13044,7,181.71063232421875
695,truck,13054,3,155.95068359375
696,truck,13081,2,468.7669372558594
697,car,13081,49,152.22509765625
698,car,13089,2,100.10009765625
699,bus,13114,14,515.8904113769531
700,car,13118,60,117.36083984375
701,car,13143,60,140.7548828125
702,car,13150,29,128.9993896484375
703,car,13173,6,125.7130126953125
704,train,13181,34,400.57696533203125
705,car,13226,48,165.39727783203125
706,car,13250,1,88.2501220703125
707,car,13261,1,79.2830810546875
708,car,13271,2,151.87353515625
709,car,13272,54,139.9114990234375
710,car,13293,59,119.74951171875
711,car,13294,1,115.472412109375
712,car,13303,43,183.26548767089844
713,car,13307,40,180.97434997558594
714,truck,13352,1,150.0865478515625
715,car,13368,59,151.92250061035156
716,car,13375,1,134.031982421875
717,car,13399,53,180.91563415527344
718,car,13440,56,137.78765869140625
719,truck,13442,1,211.18991088867188
720,car,13457,47,128.28466796875
721,car,13471,19,172.6829833984375
722,car,13504,24,115.9622802734375
723,car,13506,41,153.78558349609375
724,train,13524,19,404.70079040527344
725,car,13539,50,170.86683654785156
726,car,13584,3,156.93914794921875
727,car,13587,5,153.291259765625
728,car,13599,53,99.7752685546875
729,train,13619,3,192.740966796875
730,car,13647,56,126.82763671875
731,truck,13648,4,238.38287353515625
732,car,13658,3,144.32373046875
733,truck,13671,17,222.303955078125
734,car,13679,55,188.068603515625
735,truck,13691,32,268.50160217285156
736,car,13712,4,139.89495849609375
737,train,13729,15,427.76072692871094
738,car,13739,1,104.883544921875
739,train,13755,5,355.883056640625
740,car,13772,1,115.1181640625
741,truck,13796,9,271.6561279296875
